"","bigram","n.x","nusers.x","nbigrams.x","unique_users.x","n.y","nusers.y","nbigrams.y","unique_users.y","usage.x","usage.y","ratio"
"1564","broward county",15,12,5406079,548,1,1,6162567,599,7.02102288545211e-08,1.08360628407156e-09,64.7931171003476
"687","single mothers",28,15,5406079,548,2,2,6162567,599,1.56622818213932e-07,2.43811413916101e-09,64.2393297747036
"1687","bad orange",14,12,5406079,548,1,1,6162567,599,6.58220895511135e-08,1.08360628407156e-09,60.7435472815758
"1693","brett kavanaugh",14,12,5406079,548,1,1,6162567,599,6.58220895511135e-08,1.08360628407156e-09,60.7435472815758
"1617","literally shaking",15,11,5406079,548,1,1,6162567,599,6.48094420195579e-08,1.08360628407156e-09,59.8090311695516
"1634","pol pot",15,11,5406079,548,1,1,6162567,599,6.48094420195579e-08,1.08360628407156e-09,59.8090311695516
"1673","www.dailywire.com news",15,11,5406079,548,1,1,6162567,599,6.48094420195579e-08,1.08360628407156e-09,59.8090311695516
"1152","fan fiction",19,18,5406079,548,3,1,6162567,599,1.28268687330375e-07,2.16721256814312e-09,59.1860204282021
"799","robert mueller",25,15,5406079,548,2,2,6162567,599,1.40420457709042e-07,2.43811413916101e-09,57.5938818669756
"1918","soy boy",13,12,5406079,548,1,1,6162567,599,6.14339502477059e-08,1.08360628407156e-09,56.6939774628041
"256","ilhan omar",50,30,5406079,548,6,4,6162567,599,5.33665249129797e-07,9.48155498562615e-09,56.284570404203
"1708","election meddling",14,11,5406079,548,1,1,6162567,599,6.07588518933356e-08,1.08360628407156e-09,56.0709667214546
"270","affirmative action",48,31,5406079,548,6,4,6162567,599,5.2927710982639e-07,9.48155498562615e-09,55.8217624249148
"537","the_donald comments",33,20,5406079,548,3,3,6162567,599,2.41010112510231e-07,4.33442513628624e-09,55.6037086654425
"465","country illegally",36,29,5406079,548,4,4,6162567,599,3.74679586675569e-07,6.77253927544725e-09,55.3233538318352
"1996","facebook twitter",12,12,5406079,548,1,1,6162567,599,5.70458109442984e-08,1.08360628407156e-09,52.6444076440324
"1806","american economy",13,11,5406079,548,1,1,6162567,599,5.67082617671132e-08,1.08360628407156e-09,52.3329022733577
"1838","false flags",13,11,5406079,548,1,1,6162567,599,5.67082617671132e-08,1.08360628407156e-09,52.3329022733577
"817","election fraud",24,14,5406079,548,2,2,6162567,599,1.26580941444449e-07,2.43811413916101e-09,51.9175617791247
"638","national socialist",29,21,5406079,548,3,3,6162567,599,2.2278245694223e-07,4.33442513628624e-09,51.3983861613334
"642","political correctness",29,21,5406079,548,3,3,6162567,599,2.2278245694223e-07,4.33442513628624e-09,51.3983861613334
